title,link,snippet
中共中央国务院关于深化科技体制改革加快国家创新体系建设的意见 ...,https://www.gov.cn/gongbao/content/2012/content_2238927.htm,"Sep 23, 2012 ... 加快建立企业为主体、市场为导向、产学研用紧密结合的技术创新体系。充分发挥企业在技术创新决策、研发投入、科研组织和成果转化中的主体作用，吸纳企业 ..."
科技发展计划（项目）管理,http://kjt.jl.gov.cn/bsfw/kjjhxmsb/201605/t20160503_2256110.html,"May 3, 2016 ... 吉林省科技发展计划是省政府为加快提高我省自主创新能力，促进科技成果转化与产业化，充分发挥科技对经济社会发展的支撑引领作用设立的，支持和引导全省 ..."
中共中央办公厅国务院办公厅印发《深化科技体制改革实施方案》_文件,https://www.gov.cn/guowuyuan/2015-09/24/content_2938314.htm,"Sep 24, 2015 ... 落实落地。坚持科技体制改革的目标和方向，统筹衔接当前和长远举措，把握节奏，分步实施，增强改革的有序性。明确部门分工，强化责任担当，注重可操作、可考核、 ..."
中国人民银行关于印发《金融科技发展规划（2022-2025年）》的通知,http://www.pbc.gov.cn/zhengwugongkai/4081330/4406346/4693549/4470403/index.html,"Jan 21, 2022 ... 综合功能定位、区域分布、网络通讯、电力保障等统筹规划数据中心，建设资源更均衡、供给更敏捷、运行更高效的金融信息基础设施。按照系统、机房、城市等容 ..."
国家科技创新政策汇编,http://kjt.fujian.gov.cn/xxgk/zcwj/202305/P020230505569630767918.pdf,"May 30, 2023 ... ... 科技体制改革加快国家创新体系建设的意见》和中共中央办. 公厅、国务院办公厅印发的《深化科技体制改革实施方案》关于科研. 机构章程制定的要求，推动 ..."
提升国家创新体系整体效能－国务院国有资产监督管理委员会,http://www.sasac.gov.cn/n2588025/n2588134/c30810594/content.html,"May 21, 2024 ... 提升国家创新体系整体效能，在资源配置、基础设施、科研平台、政策法规、技术标准、创新生态、科技人才等方面夯实基础，有利于打通束缚新质生产力发展的堵点 ..."
中美清洁能源联合研究中心在华盛顿举行揭牌仪式,http://sanfrancisco.china-consulate.gov.cn/chn/kj/jlhaz/201101/t20110122_10390050.htm,"Jan 22, 2011 ... ... 联合研究中心在华盛顿举行揭牌仪式。科技部万钢部长、美国能源部朱棣文部长和国家能源局张国宝局长共同为中美清洁能源联合研究中心揭牌。 建筑能效 ..."
关于我国产学研结合的现状与思考,https://www.nsfc.gov.cn/csc/20345/20348/pdf/2008/%E5%85%B3%E4%BA%8E%E6%88%91%E5%9B%BD%E4%BA%A7%E5%AD%A6%E7%A0%94%E7%BB%93%E5%90%88%E7%9A%84%E7%8E%B0%E7%8A%B6%E4%B8%8E%E6%80%9D%E8%80%83.pdf,"发展我国政府与大型企业以基金的形式资助基础研. 究和应用性基础研究的途径, 起到了示范效应。 3 . 2. 完善有利于国家创新体系的科研成果评."
湖北省科技创新政策法规工具包（2024年8月）--湖北省科学技术厅,https://kjt.hubei.gov.cn/kjdt/tzgg/202409/t20240904_5325392.shtml,湖北省科技创新政策法规工具包（2024年8月）. 湖北省科技创新政策法规工具包（2024年8月）. 2024-09-04 16:33 | 湖北省科学技术厅. 使用微信“扫一扫”，分享到微信。x.
关于下达河南省二〇二四年科技发展计划的通知_河南科学技术厅,https://kjt.henan.gov.cn/2024/03-22/2965408.html,"Mar 22, 2024 ... 豫科〔2024〕42号各省辖市科技局，济源示范区管委会科技管理部门，各县（市）科技管理部门，郑州航空港经济综合实验区、国家高新区、郑州经济技术开发区管 ..."
中华人民共和国促进科技成果转化法（2015年修订）-中华人民共和国 ...,https://www.most.gov.cn/xxgk/xinxifenlei/fdzdgknr/fgzc/flfg/201512/t20151204_122621.html,"Aug 31, 2015 ... 科技成果完成人或者课题负责人，不得阻碍职务科技成果的转化，不得将职务科技成果及其技术资料和数据占为己有，侵犯单位的合法权益。"
【科技成果转化服务手册】第一章科技成果转化政策解读_部门解读_ ...,https://stcsm.sh.gov.cn/zwgk/kjzc/zcjd/bmjd/20241113/6458b51df3cc47919eb7336732b94e5d.html,"Nov 13, 2024 ... 需要提出的是，对于危害国家安全、损害国家利益或社会公共利益、违反国家产业政策、国家明令禁止使用或已经限期淘汰等科技成果，不得实施转化活动。涉及国家 ..."
国务院关于印发实施《中华人民共和国促进科技成果转化法》若干 ...,https://www.gov.cn/zhengce/content/2016-03/02/content_5048192.htm,"Mar 2, 2016 ... 依法对职务科技成果完成人和为成果转化作出重要贡献的其他人员给予奖励时，按照以下规定执行： 1.以技术转让或者许可方式转化职务科技成果的，应当从技术转让 ..."
山东省科学技术厅政策解读政策解读| 《深化科技成果转化机制改革 ...,http://kjt.shandong.gov.cn/art/2025/4/3/art_103586_10318796.html,"Apr 3, 2025 ... 为贯彻党的二十大和二十届二中、三中全会精神，进一步深化科技成果转化机制改革，全面激发人才创新创业活力，着力解决科技成果不敢转、不愿转、不会转、 ..."
河南省促进科技成果转化条例_河南科学技术厅,https://kjt.henan.gov.cn/2020/08-05/1751217.html,"Aug 5, 2020 ... 第四十四条国家设立的研究开发机构、高等院校等事业单位的正职领导，是科技成果的主要完成人或者为成果转移转化做出重要贡献的，经集体研究通过并公示后， ..."
广东省科学技术厅广东省教育厅印发《广东省高校和科研事业单位 ...,http://gdstc.gd.gov.cn/zwgk_n/tzgg/content/post_4484509.html,"Aug 28, 2024 ... 粤科规范字〔2024〕1号. 各地级以上市科技局、教育局，各有关单位：. 经省人民政府同意，现将《广东省高校和科研事业单位职务科技成果转化尽职免责认定 ..."
关于印发《国家科技成果转化引导基金管理暂行办法》的通知,http://jkw.mof.gov.cn/zhengcefabu/202111/t20211119_3767425.htm,"Nov 23, 2021 ... 为贯彻落实《中华人民共和国促进科技成果转化法》，加快实施创新驱动发展战略，加速推动科技成果转化与应用，根据国家有关法律法规和财政管理规定，我们对《 ..."
北京市促进科技成果转化条例_地方性法规_首都之窗_北京市人民政府 ...,https://www.beijing.gov.cn/zhengce/dfxfg/201912/t20191205_868149.html,"Nov 27, 2019 ... 为了促进科技成果转化，规范科技成果转化活动，实施创新驱动发展战略，加快建设具有全球影响力的全国科技创新中心，推动经济高质量发展和社会进步， ..."
东南大学加快推动科技成果转化- 中华人民共和国教育部政府门户网站,http://www.moe.gov.cn/jyb_sjzl/s3165/202412/t20241204_1165675.html,"Dec 3, 2024 ... 东南大学加快推动科技成果转化 ... 健全体制机制，激发成果转化动力。一是完善机构设置。成立科技成果转移转化工作领导小组、知识产权管理委员会，下设科技 ..."
中华人民共和国促进科技成果转化法- 国家法律法规数据库,https://flk.npc.gov.cn/detail2.html?MmM5MDlmZGQ2NzhiZjE3OTAxNjc4YmY3ZTM1NDA4NDM%3D,中华人民共和国促进科技成果转化法. 扫码下载. erweima. 法律效力位阶：法律. 制定机关：全国人民代表大会常务委员会. 时效性：有效. 施行日期：2015-10-01. 公布日期：2015 ...
国务院关于印发“十四五”国家知识产权保护和运用规划的通知_知识 ...,https://www.gov.cn/zhengce/content/2021-10/28/content_5647274.htm,"Oct 28, 2021 ... 五年来，各地区、各有关部门深入实施《“十三五”国家知识产权保护和运用规划》，持续推进知识产权战略实施，知识产权创造能力稳步提高，国内每万人口发明专利 ..."
国家知识产权局知识产权保护,https://www.cnipa.gov.cn/col/col2430/index.html,数据统计. 2025年2月各省（区、市）专利侵权纠纷行政案件数据统计2025-03-25 ; 调查评估 · 2023年知识产权保护社会满意度调查报告2024-10-09 ...
上海市知识产权保护中心,https://ippc.sipa.sh.gov.cn/,上海市知识产权保护中心（上海市知识产权发展研究中心），简称上海保护中心.
国家知识产权局白皮书2023年中国知识产权保护状况,https://www.cnipa.gov.cn/art/2024/4/30/art_91_192134.html,"Apr 30, 2024 ... 二〇二三年中国知识产权保护状况.pdf."
高等学校知识产权保护管理规定- 中华人民共和国教育部政府门户网站,http://www.moe.gov.cn/srcsite/A02/s5911/moe_621/199904/t19990408_81867.html,"Apr 8, 1999 ... 高等学校知识产权保护管理规定 ... 第一条为有效保护高等学校知识产权，鼓励广大教职员工和学生发明创造和智力创作的积极性，发挥高等学校的智力优势，促进科技 ..."
附件： - 政府会计准则第5 号——公共基础设施,https://czt.ln.gov.cn/czt/lnhjw/tztg/E815A4813F0A44EDAA00722BD2601DD3/P020170516405939137425.pdf,第二条本准则所称公共基础设施，是指政府会计主体. 为满足社会公共需求而控制的，同时具有以下特征的有形. 资产：. （一）是一个有形资产系统或网络的组成部分；.
关于加强与科技有关的知识产权保护和管理工作的若干意见,http://sanfrancisco.china-consulate.gov.cn/chn/kj/wjfg/200112/t20011201_10390231.htm,"Dec 1, 2001 ... ... 知识产权保护和管理工作，推动科研机构和高新技术企业提高知识产权保护意识和管理水平，完善我国科技计划、成果管理等各项科技管理工作中的知识产权 ..."
浙江省知识产权保护中心2024年公开招聘公告,https://rlsbt.zj.gov.cn/art/2024/1/31/art_1229743683_58937362.html,"Jan 31, 2024 ... 丽水市 · 一、招聘单位. 浙江省知识产权保护中心办公地点在杭州市区，公益一类事业单位，机构规格均为正处级，经费形式为财政全额补助。 · 二、招聘岗位、 ..."
为知识产权保护提供有力法治保障_滚动新闻_中国政府网,http://www.gov.cn/xinwen/2021-04/24/content_5601768.htm,"Apr 24, 2021 ... 为知识产权保护提供有力法治保障 公安机关对侵犯知识产权犯罪发起新一轮凌厉攻势. “'十三五'期间，全国公安机关共侦破侵犯知识产权和制售伪劣商品犯罪 ..."
广东省人民政府关于印发《广东省知识产权保护和运用“十四五”规划 ...,http://www.gd.gov.cn/zwgk/wjk/qbwj/yf/content/post_3900131.html,"Mar 31, 2022 ... 广东省人民政府关于印发《广东省知识产权保护. 和运用“十四五”规划》的通知. 粤府〔2021〕87号. 各地级以上市人民政府，省政府各部门、各直属机构：."
【【专家观点】加快形成新质生产力：是什么、为什么、做什么 ...,https://www.ndrc.gov.cn/wsdwhfz/202402/t20240206_1363980.html,"Feb 6, 2024 ... 先进科技是新质生产力生成的内在动力。一是要加大基础研究领域投入，要持续加强基础研究攻关和前沿技术研发，全面提升包括基础零部件（元器件）、基础材料、 ..."
党的二十大代表热议——加快实施创新驱动发展战略_滚动新闻_中国 ...,https://www.gov.cn/xinwen/2022-10/22/content_5720797.htm,"Oct 22, 2022 ... 党的二十大代表热议——加快实施创新驱动发展战略 ... 科技兴则民族兴，人才强则国家强。 习近平总书记在党的二十大报告中指出：“必须坚持科技是第一生产力、 ..."
【新质生产力的内涵特征和发展重点（深入学习贯彻习近平新时代 ...,https://www.ndrc.gov.cn/wsdwhfz/202403/t20240301_1364322.html,"Mar 1, 2024 ... 新质生产力代表先进生产力的演进方向，是由技术革命性突破、生产要素创新性配置、产业深度转型升级而催生的先进生产力质态。新质生产力以劳动者、劳动资料 ..."
国务院关于印发新一代人工智能发展规划的通知_科技_中国政府网,https://www.gov.cn/zhengce/content/2017-07/20/content_5211996.htm,"Jul 20, 2017 ... 利用现有政府投资基金支持符合条件的人工智能项目，鼓励龙头骨干企业、产业创新联盟牵头成立市场化的人工智能发展基金。利用天使投资、风险投资、创业投资 ..."
科技部关于印发《生物技术研究开发安全管理办法》的通知-中华人民 ...,https://www.most.gov.cn/xxgk/xinxifenlei/fdzdgknr/fgzc/gfxwj/gfxwj2017/201707/t20170725_134231.html,"Jul 25, 2017 ... （一）制定本组织生物技术研究开发安全管理规范； （二）对本组织生物技术研究开发活动开展风险评估并进行监督管理； （三）制定本组织各类风险等级生物技术研究 ..."
中共中央国务院印发《国家创新驱动发展战略纲要》_中央有关文件_ ...,https://www.gov.cn/zhengce/2016-05/19/content_5074812.htm,"May 19, 2016 ... 党的十八大提出实施创新驱动发展战略，强调科技创新是提高社会生产力和综合国力的战略支撑，必须摆在国家发展全局的核心位置。这是中央在新的发展阶段确立的 ..."
教育部关于印发《高等学校人工智能创新行动计划》的通知- 中华人民 ...,http://www.moe.gov.cn/srcsite/A16/s7062/201804/t20180410_332722.html?eqid=b992307e00003f7d000000066498ffc3,"Apr 10, 2018 ... 教育部关于印发《高等学校人工智能创新行动计划》的通知 · 1.加快人工智能领域学科建设。支持高校在计算机科学与技术学科设置人工智能学科方向，深入论证并 ..."
生成式人工智能服务管理暂行办法_中央网络安全和信息化委员会办公室,https://www.cac.gov.cn/2023-07/13/c_1690898327029107.htm,"Jul 13, 2023 ... 生成式人工智能服务管理暂行办法 · 第二条利用生成式人工智能技术向中华人民共和国境内公众提供生成文本、图片、音频、视频等内容的服务（以下称生成式人工 ..."
理解中国热词：新质生产力,http://losangeles.china-consulate.gov.cn/zlsxx/jhjwz/202404/t20240418_11283725.htm,"Apr 17, 2024 ... ——“新”在以创新驱动为主导的高质量发展。新质生产力由创新起主导作用，具有高科技、高效能、高质量特征。主要包括：一是培育新兴产业。去年中国生物医药、 ..."
耿爽大使在人工智能第二次非正式磋商会议上的发言_中华人民共和国 ...,http://un.china-mission.gov.cn/hyyfy/202502/t20250220_11559086.htm,"Feb 19, 2025 ... 两机制应坚持发展导向，重视发展中国家需求，积极推动人工智能赋能农业、制造业、教育、医疗等各个领域，助力落实2030议程。应坚持技术发展与风险防范并重，一 ..."
学位授予和人才培养学科目录（2018年4月更新） - 中华人民共和国 ...,http://www.moe.gov.cn/jyb_sjzl/ziliao/A22/201804/t20180419_333655.html,学位授予和人才培养学科目录（2018年4月更新）. 2018-04-19 来源：研究生司收藏. 附件下载：学位授予和人才培养学科目录（2018年4月更新）. 扫描分享 扫一扫分享本页.
人社部：加强新职业人才培养_滚动新闻_中国政府网,https://www.gov.cn/xinwen/2021-05/07/content_5604961.htm,"May 7, 2021 ... 为加快培养高素质劳动者和技术技能人才，改善新职业人才供给质量结构，支持战略性新兴产业发展，近日，人社部印发《关于加强新职业培训工作的通知》。"
关于印发《学位授予和人才培养学科目录（2011年）》的通知- 中华 ...,http://www.moe.gov.cn/srcsite/A22/moe_833/moe_834/201103/t20110308_116439.html,"Mar 8, 2011 ... 关于印发《学位授予和人才培养学科目录（2011年）》的通知 · 一、已有博士、硕士学位授权点应按新目录进行对应调整，具体办法另行通知。 · 二、自印发之日起， ..."
我国高技能人才培养供给体系日益完善补贴性职业技能培训超1亿人次 ...,https://www.gov.cn/yaowen/2023-05/09/content_5754650.htm,"May 9, 2023 ... 我国高技能人才培养供给体系日益完善补贴性职业技能培训超1亿人次 · 技能人才是我国人才队伍的重要组成部分，是支撑中国制造、中国创造的重要力量。 · 成效 ..."
教育部关于加快建设高水平本科教育全面提高人才培养能力的意见 ...,http://www.moe.gov.cn/srcsite/A08/s7056/201810/t20181017_351887.html,"Oct 17, 2018 ... 深化高校本科专业供给侧改革，建立健全专业动态调整机制，做好存量升级、增量优化、余量消减。主动布局集成电路、人工智能、云计算、大数据、网络空间安全、 ..."
关于2025年国际组织人才培养项目面向在国外留学人员选拔的通知_ ...,http://jp.china-embassy.gov.cn/zytz_0/202503/t20250303_11566814.htm,"Mar 3, 2025 ... 每个子项目分成两种渠道，一是单位或个人自行联系渠道，即申请人自行联系国际组织岗位或国外高校后申请国家留学基金资助派出；二是国家留学基金委合作渠道，即 ..."
舒惠好出席全国高端会计人才培养项目毕业活动,https://www.mof.gov.cn/zhengwuxinxi/tupianxinwen1/202412/t20241211_3949336.htm,"Dec 10, 2024 ... 2024年12月11日 来源：会计司. 2024年12月4日，全国高端会计人才培养项目毕业活动在北京国家会计学院举行。财政部党组成员、部长助理舒惠好出席活动并 ..."
人力资源社会保障部关于印发《推进技工院校工学一体化技能人才 ...,https://www.mohrss.gov.cn/xxgk2020/fdzdgknr/qt/gztz/202203/t20220328_441386.html,"Mar 4, 2022 ... 工学一体化培养模式是依据国家职业技能标准及技能人才培养标准，以综合职业能力培养为目标，将工作过程和学习过程融为一体，培育德技并修、技艺精湛的技能 ..."
文化和旅游部办公厅关于印发《国家旅游人才培训基地管理办法 ...,https://zwgk.mct.gov.cn/zfxxgkml/zcfg/gfxwj/202012/t20201204_906331.html,"May 29, 2018 ... 为贯彻落实《“十三五”旅游人才发展规划纲要》，推进国家旅游人才培训基地建设，规范国家旅游人才培训基地运行管理，现将《国家旅游人才培训基地管理办法》（ ..."
（长安）长安全力推进技能人才培养工作,http://dghrss.dg.gov.cn/gkmlpt/content/4/4139/post_4139578.html,"Jan 12, 2024 ... 实现高质量发展，离不开技能人才的坚实支撑；加快培养更多高素质的技术技能人才，对于加快建设现代化产业体系、增强企业核心竞争力具有重要意义。"
小型模块化反应堆发展现状与趋势_国家核安全局,https://nnsa.mee.gov.cn/ztzl/haqshmhsh/haqrdmyyt/202405/202401/t20240123_1064446.html,"May 30, 2024 ... （1）我国在陆上小型模块化反应堆部署方面领先全球，工程建设进展良好。我国的“玲龙一号”反应堆是全球首个通过国际原子能机构官方审查的三代轻水SMR，也是全球 ..."
我国构建全球首个星地量子通信网_滚动新闻_中国政府网,https://www.gov.cn/xinwen/2021-01/08/content_5577894.htm,"Jan 8, 2021 ... 我国构建全球首个星地量子通信网 ... 中国科学技术大学1月7日宣布，中国科研团队成功实现了跨越4600公里的星地量子密钥分发，此举标志着我国已成功构建出天地 ..."
发展量子通信为何要上天？-新华网,http://www.xinhuanet.com/tech/20230627/faa8dd23a9d24eda80abc2966b0dc82d/c.html,"Jun 27, 2023 ... 廖胜凯指出，量子卫星的一个重要作用是作为中继扩展量子通信的距离，从而实现远距离、高难度的通信。“用于量子通信的地面基站（即可信中继）一般需要数十公里 ..."
量子通信与量子计算等研究取得突破----中科院2020年年度两类亮点 ...,https://www.cas.cn/zt/kjzt/2020ndldsx/kjcx/202101/t20210107_4773879.html,"Jan 7, 2021 ... 完成单位：中国科学技术大学、中国科学院上海技术物理研究所、微小卫星创新研究院、光电技术研究所、上海微系统与信息技术研究所、精密测量科学与技术 ..."
通往未来“造物时代”的合成生物学，有哪些用？一文看懂,https://stcsm.sh.gov.cn/xwzx/kjzl/20230712/52b053d56baa487c96cd2877ad6ab1d3.html,"Jul 12, 2023 ... 上世纪50年代DNA双螺旋结构发现后，遗传密码的破译、限制性内切酶的发现、PCR技术的发明等一系列重大分子生物学成就，催生了基因工程技术，也正式开启了合成 ..."
教育部关于合成生物学前沿科学中心立项建设的通知- 中华人民共和国 ...,http://www.moe.gov.cn/srcsite/A16/s3336/201810/t20181025_352692.html,"Oct 25, 2018 ... 一是完善建设规划，根据建设目标，认真研究吸纳专家组意见，进一步完善建设规划，明确建设任务，创新建设模式和实现路径。二是落实政策保障，强化主体建设责任， ..."
关于组织申报国家重点研发计划“生物与信息融合（BT与IT融合 ...,https://stcsm.sh.gov.cn/zwgk/kyjhxm/xmsb/20250425/10b781451160440ba58af7b857ef0808.html,4 days ago ... 根据《国家自然科学基金委员会关于发布国家重点研发计划“生物与信息融合（BT与IT融合）”“合成生物学”重点专项2025年度应急项目申报指南的通知》有关要求，为 ...
省科技厅关于组织申报量子通信与量子计算机国家科技重大专项公开 ...,https://kjt.hubei.gov.cn/kjdt/tzgg/202409/t20240914_5337966.shtml,"Sep 14, 2024 ... 省科技厅关于组织申报量子通信与量子计算机国家科技重大专项公开竞争类项目2024年度公开项目的通知 ... 1．各申报单位需严格按照申报通知中申报指南、工作 ..."
基础司张先恩司长赴美参加三国六方合成生物学国际会议-中华人民 ...,https://www.most.gov.cn/kjbgz/201208/t20120809_96141.html,"Aug 9, 2012 ... 会议邀请了来自中美英三国科学院和工程院共六方的相关领域科学家、政府官员和企业家代表，针对“合成生物学未来发展”、“全球面临的挑战”、“关键应用领域的 ..."
无需低温冷却，商用电信网实现长距离量子通信,https://www.stdaily.com/web/gjxw/2025-04/24/content_329852.html,5 days ago ... 科技日报记者张梦然. 工程师团队在德国长250公里的电信网络上成功发送了量子信息，这是已知首例利用现有商用电信基础设施实现相干量子通信的报道。
国务院关于印发国家技术转移体系建设方案的通知_科技_中国政府网,https://www.gov.cn/zhengce/content/2017-09/26/content_5227667.htm,"Sep 26, 2017 ... 加强技术转移人才培养。发挥企业、高校、科研院所等作用，通过项目、基地、教学合作等多种载体和形式吸引海外高层次技术转移人才和团队。鼓励有条件的高校 ..."
推动高端装备制造业创新发展－国务院国有资产监督管理委员会,http://www.sasac.gov.cn/n2588025/n2588134/c20550040/content.html,"Sep 3, 2021 ... 推动高端装备制造业创新发展 ... 习近平总书记指出：“科技创新成为国际战略博弈的主要战场，围绕科技制高点的竞争空前激烈。我们必须保持强烈的忧患意识，做好 ..."
杭州市人民政府办公厅关于印发加快推进高端装备制造业高质量发展 ...,https://www.hangzhou.gov.cn/art/2023/7/28/art_1229063382_1836282.html,"Jul 25, 2023 ... 优化完善企业梯度培育机制，积极鼓励行业龙头企业发挥“链主”带动作用，打造良好产业生态。 本措施自2023年8月27日起施行，有效期至2025年12月31日，由市经信局 ..."
关于印发药品技术转让注册管理规定的通知,https://www.nmpa.gov.cn/xxgk/fgwj/gzwj/gzwjyp/20090819174401722.html?type=pc&m=,"Aug 19, 2009 ... 第一条为促进新药研发成果转化和生产技术合理流动，鼓励产业结构调整和产品结构优化，规范药品技术转让注册行为，保证药品的安全、有效和质量可控，根据《药品 ..."
第10届中国—东盟技术转移与创新合作大会在广西南宁开幕-中华人民 ...,https://www.most.gov.cn/kjbgz/202209/t20220921_182483.html,"Sep 21, 2022 ... 中国—东盟技术转移联盟正式成立，作为国内首个专门面向东盟的技术转移合作机制，该联盟将联合国内科技创新能力强、资源集中的省市创新机构，以更有效地满足 ..."
